이름,몸무게,키
카하,105,163
카하,117,161
라마,43,149
다파,74,161
마마,91,156
자아,119,141
자바,86,150
나사,109,188
라다,60,199
파파,84,165
아다,104,178
라아,97,168
나가,104,166
아가,48,193
타나,60,166
차사,55,160
마가,113,153
카파,49,191
카나,61,143
아타,70,199
가파,59,142
가나,61,191
마가,42,171
타차,43,145
가파,51,154
카아,54,159
나다,71,184
하다,67,171
사타,88,190
타타,70,151
사파,51,185
라아,107,193
마다,71,197
하나,79,154
마아,103,196
바카,61,189
다사,51,157
마아,108,186
라자,94,187
파라,86,157
사자,109,146
차아,97,171
아타,62,173
라가,52,190
차마,81,182
라타,82,158
가자,83,179
자바,101,157
하차,102,155
파카,83,174
가바,62,183
차가,49,199
나카,97,195
나타,95,179
바바,82,163
자파,69,177
라가,114,176
마파,78,162
자카,107,144
파라,80,185
라바,92,171
바바,85,195
파사,46,188
사카,77,148
가다,61,187
파마,81,194
카카,43,190
차사,112,148
아사,74,145
바바,54,149
마라,78,198
라아,40,187
하다,51,180
카나,49,184
다나,81,147
가사,52,182
나차,71,169
나타,49,164
마마,53,175
마라,82,198
카다,96,165
다타,68,163
차하,94,190
자아,101,154
자라,47,161
자라,55,148
마타,61,175
사바,56,195
아하,44,177
하차,77,191
사카,95,199
바라,82,148
타타,67,161
아나,81,190
자파,97,174
자자,78,147
타타,115,182
파다,57,147
타파,79,169
사하,60,177
자다,42,155
나가,90,179
라차,119,194
사다,97,186
하차,118,155
바타,44,149
마라,77,183
카바,94,180
아파,112,186
사아,65,143
카라,96,192
나카,64,152
카가,98,167
가타,105,194
자카,99,169
자하,103,170
자아,107,171
사자,68,159
파아,64,142
바타,66,183
바나,53,185
타마,111,182
가나,51,195
카카,87,161
다다,78,164
사자,66,177
사하,107,157
마다,89,158
파아,84,196
라아,113,189
파바,65,189
마마,47,167
카파,89,190
가사,61,148
가바,44,187
가자,88,181
마다,106,160
타다,85,183
사가,102,160
차차,112,147
자사,89,184
타아,103,174
자나,90,174
하타,111,197
다하,97,172
마라,49,183
아카,65,163
파라,93,163
가마,102,165
라나,52,184
차타,43,148
가바,62,140
자아,57,172
파다,79,152
다아,107,158
차마,47,173
타나,70,177
하자,91,160
하카,59,163
타다,103,146
나나,54,147
사가,90,188
파나,69,195
타가,73,176
바나,78,142
나가,95,164
차다,113,155
다가,52,154
사자,71,178
차자,44,168
파타,94,140
타타,61,181
사타,94,150
자나,83,150
하타,100,161
라카,43,175
바마,79,164
가다,77,172
다사,77,199
파하,93,175
사사,40,187
가아,103,177
하사,64,156
아카,45,173
마카,116,165
차하,53,162
사자,113,173
바다,47,151
자자,109,182
차하,40,140
하바,89,157
사타,49,154
바카,105,173
바마,58,192
카라,79,167
가자,86,166
다라,87,150
아다,48,193
나타,49,155
차바,83,179
나카,42,179
다가,60,166
파가,118,194
타바,58,148
가아,68,155
바가,76,177
라사,80,193
가아,99,179
파자,96,186
라사,89,188
바나,55,188
파라,114,193
자아,97,176
카차,83,164
타타,91,153
마자,56,171
라가,99,197
파바,80,167
바타,90,150
라나,96,157
타바,47,190
자차,73,168
자자,51,143
카가,42,192
마카,59,147
다마,73,141
라카,57,175
가아,95,170
차라,82,187
카마,54,198
다타,115,155
바바,103,191
타아,46,197
마다,107,187
타아,92,176
라나,113,158
나카,108,186
카라,45,150
라사,69,173
사파,70,192
파가,61,195
차하,70,188
자파,74,193
파하,68,151
사마,72,146
하마,66,173
자아,107,141
다파,68,163
타타,77,152
타다,59,141
하사,103,160
사아,91,146
카라,97,179
아마,90,179
다타,116,142
마카,102,161
차바,94,147
라가,87,188
마라,112,179
라나,54,140
나라,85,198
파마,87,152
라아,54,157
카가,57,175
라라,88,189
마나,100,155
자라,95,144
다가,105,142
파사,103,188
가가,116,199
차하,104,171
다바,114,156
마자,113,160
하하,107,192
카사,92,142
바차,46,147
하파,63,165
바마,68,173
나바,47,144
사차,57,141
사차,43,158
카차,78,178
마자,100,164
차카,79,198
다가,76,146
차나,52,172
아바,106,159
타아,49,196
자나,69,147
라나,60,161
타파,79,195
다다,76,182
아마,105,143
파카,72,194
마다,113,158
아자,79,142
하카,79,150
사바,47,152
가라,45,141
